Ball count,CTE_pkg_sub_xy,CTE_solder_pkg,CTE_solder_sub_xy,"DieHlfDiagSz, mm",Packag Poisson ratio,"Package Plating (0:None, 1:Ni/Au, )",Solder CTE,Solder Poisson Ratio,Solder Specific Heat J/KgK,Solder Tensile Strength MPa,Solder Thermal conductivity W/mK,Solder Young Module,Solder density,Solder melting temp.,Substrate Poisson ratio,Substrate Thermal Conductivity x-y-direction W/mK,"Substrate thickness, mm","Substratre Plating (0:None, 1:Ni/Au, )","Tmax, °C",Tmean_C,Tmin_C,b_Ag (Wt. % Ag comp. in ball alloy),b_Cu (Wt. % Cu comp. in ball alloy),creep_index,creep_ratio,cycle_mode,fatigue_index,freq_cycle_per_hour,frequency_min_per_cycle,geom_strain_index,p_Ag (Wt. % Ag comp. in paste alloy),p_Cu (Wt. % Cu comp. in paste alloy),pkg_die_ratio,relative_pitch,substrate_thermal_diffusivity_xy,"ΔT, °C",log_life,mean life (cycle)
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,125.0,42.5,-40.0,0.0,0.0,62.6249985119048,0.2097959821309678,0,235.87928010204092,1.428571394557824,42.0,-6638.214865708932,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,165.0,8.354862225428686,4249.79892
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,125.0,42.5,-40.0,0.0,0.0,62.62499973958332,0.6019319434627216,0,41.414999828125,0.2499999989583333,240.0,-6638.214865708932,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,165.0,7.873599559763912,2626.00465
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,125.0,35.0,-55.0,0.0,0.0,62.62499791666673,0.1481179263597707,0,360.17998800000044,1.999999933333336,30.0,-7241.688944409742,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,180.0,8.32367288152946,4119.265498
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999833333338,0.2002398073611453,0,200.0999933333336,1.999999933333336,30.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.6036820959402,14818.24712
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,128.933329038889,0.3918549273899281,0,200.0999933333336,1.999999933333336,30.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.342279903261478,11409.3932
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999875000003,0.250249749005989,0,150.0999962500001,1.4999999625000011,40.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.524229888350076,13686.38505
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,118.34999704375008,0.4408642188840806,0,150.0999962500001,1.4999999625000011,40.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.2865026071147,10790.37634
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,159.29999681600003,0.5701503200771978,0,120.09999760000004,1.1999999760000006,50.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.142753785028871,9345.467889
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999916666668,0.3335552574367479,0,100.09999833333336,0.9999999833333336,60.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.412249082690195,12236.36289
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.099999375,0.4001597412147751,0,75.09999906250002,0.7499999906250001,80.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.332798052877711,11301.71287
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,59.22499926093751,0.4409082416470462,0,75.09999906250002,0.7499999906250001,80.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.2865026071147,10790.37634
