"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle,log_life,Tmin_C,Tmean_C,period_min_per_cycle,freq_cycle_per_hour,hot_duty_ratio,creep_index,fatigue_index,creep_ratio,fatigue_ratio,CTE_pkg_sub_xy,CTE_solder_sub_xy,CTE_solder_pkg,geom_strain_index,pkg_die_ratio,relative_pitch,solder_thermal_diffusivity,substrate_thermal_diffusivity_xy,solder_effective_E,substrate_effective_E,package_effective_E
0.8,5.66,3.39,165.0,21.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,4249.79892,0,42.0,8.354862225428686,-40.0,42.5,42.0,1.428571394557824,0.49999998809523843,62.6249985119048,235.87928010204095,0.20979598213096787,0.7902040145189964,-11.379999999999999,8.5,19.88,-6638.214865708932,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,165.0,120.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,2626.00465,0,240.0,7.873599559763912,-40.0,42.5,240.0,0.24999999895833333,0.49999999791666666,62.62499973958332,41.414999828125,0.6019319434627216,0.3980680469255907,-11.379999999999999,8.5,19.88,-6638.214865708932,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,180.0,15.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,4119.265498,0,30.0,8.32367288152946,-55.0,35.0,30.0,1.9999999333333356,0.4999999833333339,62.62499791666673,360.17998800000044,0.1481179263597707,0.8518820712750726,-11.379999999999999,8.5,19.88,-7241.688944409742,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,15.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,14818.24712,0,30.0,9.603682095940199,0.0,50.0,30.0,1.9999999333333356,0.4999999833333339,50.09999833333338,200.09999333333357,0.20023980736114538,0.7997601886420519,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,38.65,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,11409.3932,0,30.0,9.342279903261478,0.0,50.0,30.0,1.9999999333333356,1.2883332903888902,128.933329038889,200.09999333333357,0.3918549273899281,0.608145069570866,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,20.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,13686.38505,0,40.0,9.524229888350076,0.0,50.0,40.0,1.4999999625000011,0.49999998750000035,50.09999875000003,150.0999962500001,0.250249749005989,0.749750245999006,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,47.3,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,10790.37634,0,40.0,9.286502607114699,0.0,50.0,40.0,1.4999999625000011,1.1824999704375008,118.34999704375007,150.0999962500001,0.44086421888408067,0.5591357773908309,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,79.6,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,9345.467889,0,50.0,9.142753785028873,0.0,50.0,50.0,1.1999999760000006,1.5919999681600006,159.29999681600003,120.09999760000005,0.5701503200771978,0.42984967634370413,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,30.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,12236.36289,0,60.0,9.412249082690197,0.0,50.0,60.0,0.9999999833333336,0.4999999916666668,50.09999916666668,100.09999833333336,0.33355525743674797,0.6664447359054623,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,40.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,11301.71287,0,80.0,9.332798052877713,0.0,50.0,80.0,0.7499999906250001,0.4999999937500001,50.099999375,75.09999906250002,0.40015974121477516,0.5998402507980043,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,47.3,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,10790.37634,0,80.0,9.286502607114699,0.0,50.0,80.0,0.7499999906250001,0.591249992609375,59.22499926093751,75.09999906250002,0.44090824164704623,0.5590917509083233,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,70.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,9683.161166,0,90.0,9.178246960422562,0.0,50.0,90.0,0.6666666592592594,0.7777777691358025,77.87777691358025,66.76666592592593,0.5384083539357478,0.46159163915074775,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,70.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,9683.161166,0,100.0,9.178246960422562,0.0,50.0,100.0,0.599999994,0.699999993,70.09999930000001,60.0999994,0.5384024536215111,0.4615975386979974,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,100.0,60.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,10104.33796,0,120.0,9.220819074107748,0.0,50.0,120.0,0.4999999958333334,0.4999999958333334,50.09999958333333,50.09999958333333,0.49999999500998005,0.49999999500998005,-11.379999999999999,8.5,19.88,-4023.16052467208,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
