"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle
0.8,5.66,3.39,165.0,21.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,4249.79892,0,42.0
0.8,5.66,3.39,165.0,120.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,2626.00465,0,240.0
0.8,5.66,3.39,180.0,15.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,4119.265498,0,30.0
0.8,5.66,3.39,100.0,15.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,14818.24712,0,30.0
0.8,5.66,3.39,100.0,38.65,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,11409.3932,0,30.0
0.8,5.66,3.39,100.0,20.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,13686.38505,0,40.0
0.8,5.66,3.39,100.0,47.3,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,10790.37634,0,40.0
0.8,5.66,3.39,100.0,79.6,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,9345.467889,0,50.0
0.8,5.66,3.39,100.0,30.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,12236.36289,0,60.0
0.8,5.66,3.39,100.0,40.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,11301.71287,0,80.0
