"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle,log_life,Tmin_C,Tmean_C,period_min_per_cycle,freq_cycle_per_hour,hot_duty_ratio,creep_index,fatigue_index,creep_ratio,fatigue_ratio,CTE_pkg_sub_xy,CTE_solder_sub_xy,CTE_solder_pkg,geom_strain_index,pkg_die_ratio,relative_pitch,solder_thermal_diffusivity,substrate_thermal_diffusivity_xy,solder_effective_E,substrate_effective_E,package_effective_E
0.8,5.66,3.39,165.0,30.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,4843.0,0,60.0,8.485496104672983,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-11.379999999999999,8.5,19.88,-6638.214865708932,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,3.39,180.0,15.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,3263.0,0,30.0,8.090708716083997,-55.0,35.0,30.0,1.9999999333333356,0.4999999833333339,62.62499791666673,360.17998800000044,0.1481179263597707,0.8518820712750726,-11.379999999999999,8.5,19.88,-7241.688944409742,1.6696160266619389,0.1413427312115316,0.03550160327788501,0.0005784892387779493,45.69795362056567,29.248738455728184,167.08683576414904
0.8,5.66,,165.0,30.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,445.0,0,60.0,6.100318952020064,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-5.08,14.8,19.88,-2963.280449718926,,0.1413427312115316,0.03550160327788501,0.011879972672142464,45.69795362056567,380.1072958427876,167.08683576414904
0.8,5.66,,100.0,15.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,1103.0,0,30.0,7.00669522683704,0.0,50.0,30.0,1.9999999333333356,0.4999999833333339,50.09999833333338,200.09999333333357,0.20023980736114538,0.7997601886420519,-5.08,14.8,19.88,-1795.9275452841975,,0.1413427312115316,0.03550160327788501,0.011879972672142464,45.69795362056567,380.1072958427876,167.08683576414904
0.8,8.485281374,4.5254834,165.0,30.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2948.0,0,60.0,7.9892214088152755,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-17.38,2.5,19.88,-15198.7766372391,1.8749995854587411,0.09428089304974734,0.03550160327788501,0.0007489234179059888,45.69795362056567,2.8267720185752845,167.08683576414904
0.8,8.485281374,4.5254834,180.0,15.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2792.0,0,30.0,7.934871565945176,-55.0,35.0,30.0,1.9999999333333356,0.4999999833333339,62.62499791666673,360.17998800000044,0.1481179263597707,0.8518820712750726,-17.38,2.5,19.88,-16580.483604260833,1.8749995854587411,0.09428089304974734,0.03550160327788501,0.0007489234179059888,45.69795362056567,2.8267720185752845,167.08683576414904
0.8,8.485281374,4.5254834,100.0,15.0,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,10370.0,0,30.0,9.246768728589734,0.0,50.0,30.0,1.9999999333333356,0.4999999833333339,50.09999833333338,200.09999333333357,0.20023980736114538,0.7997601886420519,-17.38,2.5,19.88,-9211.37978014491,1.8749995854587411,0.09428089304974734,0.03550160327788501,0.0007489234179059888,45.69795362056567,2.8267720185752845,167.08683576414904
0.8,8.485281374,4.5254834,165.0,30.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,3.4,0.0,0.7,21.3,234.0,64.4,491.15,0.35,45.1,7.4,53.0,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2654.0,0,60.0,7.884199933676039,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-17.38,1.3000000000000007,18.68,-15198.7766372391,1.8749995854587411,0.09428089304974734,0.03719103716955934,0.0007489234179059888,51.39595282512498,2.8267720185752845,167.08683576414904
0.8,8.485281374,4.5254834,165.0,30.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,0.0,0.0,0.7,22.6,228.0,62.9,500.15,0.37,34.0,7.31,32.2,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,3356.0,0,60.0,8.118802996980035,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-17.38,2.6000000000000014,19.98,-15198.7766372391,1.8749995854587411,0.09428089304974734,0.037739698059771704,0.0007489234179059888,39.392840467106396,2.8267720185752845,167.08683576414904
0.8,8.485281374,4.5254834,180.0,15.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,3.4,0.0,0.7,21.3,234.0,64.4,491.15,0.35,45.1,7.4,53.0,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2886.0,0,30.0,7.967973179662935,-55.0,35.0,30.0,1.9999999333333356,0.4999999833333339,62.62499791666673,360.17998800000044,0.1481179263597707,0.8518820712750726,-17.38,1.3000000000000007,18.68,-16580.483604260833,1.8749995854587411,0.09428089304974734,0.03719103716955934,0.0007489234179059888,51.39595282512498,2.8267720185752845,167.08683576414904
0.8,8.485281374,4.5254834,180.0,15.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,0.0,0.0,0.7,22.6,228.0,62.9,500.15,0.37,34.0,7.31,32.2,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2998.0,0,30.0,8.006034178749008,-55.0,35.0,30.0,1.9999999333333356,0.4999999833333339,62.62499791666673,360.17998800000044,0.1481179263597707,0.8518820712750726,-17.38,2.6000000000000014,19.98,-16580.483604260833,1.8749995854587411,0.09428089304974734,0.037739698059771704,0.0007489234179059888,39.392840467106396,2.8267720185752845,167.08683576414904
0.8,7.810249676,6.403124237,165.0,30.0,125.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,4264.0,0,60.0,8.35819745992578,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-6.3,6.699999999999999,13.0,-3528.359208258149,1.219755882778777,0.10242949083034016,0.03392130255818012,0.0005784892387779493,45.92868688117719,29.248738455728184,380.1072958427876
0.8,7.810249676,6.403124237,165.0,30.0,125.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,4426.0,0,60.0,8.395477432732141,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-6.3,6.699999999999999,13.0,-3528.359208258149,1.219755882778777,0.10242949083034016,0.03392130255818012,0.0005784892387779493,45.92868688117719,29.248738455728184,380.1072958427876
0.8,7.810249676,6.403124237,165.0,30.0,125.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,3826.0,0,60.0,8.249836485425702,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-6.3,6.699999999999999,13.0,-3528.359208258149,1.219755882778777,0.10242949083034016,0.03392130255818012,0.0005784892387779493,45.92868688117719,29.248738455728184,380.1072958427876
0.8,7.810249676,6.403124237,165.0,30.0,125.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,3646.0,0,60.0,8.20166019080868,-40.0,42.5,60.0,0.9999999833333336,0.4999999916666668,62.62499895833334,165.16499725000006,0.27492427115251,0.7250757244574816,-6.3,6.699999999999999,13.0,-3528.359208258149,1.219755882778777,0.10242949083034016,0.03392130255818012,0.0005784892387779493,45.92868688117719,29.248738455728184,380.1072958427876
0.8,7.810249676,6.403124237,100.0,20.0,100.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,16997.0,0,40.0,9.740850969058572,0.0,50.0,40.0,1.4999999625000011,0.49999998750000035,50.09999875000003,150.0999962500001,0.250249749005989,0.749750245999006,-6.3,6.699999999999999,13.0,-2138.399520156454,1.219755882778777,0.10242949083034016,0.03392130255818012,0.0005784892387779493,45.92868688117719,29.248738455728184,380.1072958427876
0.8,7.810249676,6.403124237,100.0,20.0,100.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,12288.0,0,40.0,9.416459832284596,0.0,50.0,40.0,1.4999999625000011,0.49999998750000035,50.09999875000003,150.0999962500001,0.250249749005989,0.749750245999006,-6.3,6.699999999999999,13.0,-2138.399520156454,1.219755882778777,0.10242949083034016,0.03392130255818012,0.0005784892387779493,45.92868688117719,29.248738455728184,380.1072958427876
