"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle
0.8,5.66,3.39,165.0,30.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,4843.0,0,60.0
0.8,5.66,3.39,180.0,15.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,3263.0,0,30.0
0.8,5.66,,165.0,30.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,445.0,0,60.0
0.8,5.66,,100.0,15.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,1103.0,0,30.0
0.8,8.485281374,4.5254834,165.0,30.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2948.0,0,60.0
0.8,8.485281374,4.5254834,180.0,15.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2792.0,0,30.0
0.8,8.485281374,4.5254834,100.0,15.0,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,10370.0,0,30.0
0.8,8.485281374,4.5254834,165.0,30.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,3.4,0.0,0.7,21.3,234.0,64.4,491.15,0.35,45.1,7.4,53.0,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2654.0,0,60.0
0.8,8.485281374,4.5254834,165.0,30.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,0.0,0.0,0.7,22.6,228.0,62.9,500.15,0.37,34.0,7.31,32.2,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,3356.0,0,60.0
0.8,8.485281374,4.5254834,180.0,15.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,3.4,0.0,0.7,21.3,234.0,64.4,491.15,0.35,45.1,7.4,53.0,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2886.0,0,30.0
0.8,8.485281374,4.5254834,180.0,15.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,0.0,0.0,0.7,22.6,228.0,62.9,500.15,0.37,34.0,7.31,32.2,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2998.0,0,30.0
